ime
Suzanne Collins
J.K. Rowling
Harper Lee
Jane Austen
Stephenie Meyer
Markus Zusak
George Orwell
C.S. Lewis
J.R.R. Tolkien
Margaret Mitchell
John Green
Douglas Adams
Shel Silverstein
Emily Brontë
Dan Brown
Arthur Golden
Oscar Wilde
Lewis Carroll
Charlotte Brontë
Victor Hugo
Ray Bradbury
Veronica Roth
William Golding
William Shakespeare
Paulo Coelho
Fyodor Dostoyevsky
Stephen Chbosky
F. Scott Fitzgerald
Cassandra Clare
Orson Scott Card
Kathryn Stockett
L.M. Montgomery
J.K. Rowling
Antoine de Saint-Exupéry
E.B. White
John Steinbeck
Audrey Niffenegger
Bram Stoker
Aldous Huxley
Gabriel García Márquez
J.D. Salinger
William Goldman
Rick Riordan
Frances Hodgson Burnett
Khaled Hosseini
"Madeleine L&#39;Engle"
George R.R. Martin
Mark Twain
Alice Sebold
S.E. Hinton
Maurice Sendak
Dr. Seuss
Homer
Yann Martel
Charles Dickens
Sara Gruen
Vladimir Nabokov
Kurt Vonnegut Jr.
Mary Wollstonecraft Shelley
Khaled Hosseini
Margaret Atwood
Lois Lowry
Joseph Heller
Frank Herbert
Ken Follett
Stephen King
Arthur Conan Doyle
Richard  Adams
Charles Dickens
Louisa May Alcott
Sylvia Plath
J.K. Rowling
Ken Kesey
Leo Tolstoy
Diana Gabaldon
Jodi Picoult
Roald Dahl
J.R.R. Tolkien
Stieg Larsson
Daphne du Maurier
George Orwell
Alice Walker
Betty  Smith
Anthony Burgess
Cormac McCarthy
Fyodor Dostoyevsky
Frank McCourt
Richelle Mead
Hermann Hesse
Barbara Kingsolver
Philip Pullman
Miguel de Cervantes Saavedra
Ayn Rand
J.K. Rowling
Ernest Hemingway
Nicholas Sparks
A.A. Milne
Edgar Allan Poe
Anne Rice
John Irving
Herman Melville
Anita Diamant
J.K. Rowling
Sue Monk Kidd
Cassandra Clare
J.K. Rowling
Agatha Christie
Jeffrey Eugenides
Albert Camus
Mikhail Bulgakov
Patrick Rothfuss
Stephen King
Mark Twain
Christopher Paolini
Roald Dahl
Daniel Keyes
Jack Kerouac
John Green
Franz Kafka
Carlos Ruiz Zafón
Mark Haddon
Eric Carle
Mitch Albom
Milan Kundera
Umberto Eco
Wilson Rawls
J.K. Rowling
Mario Puzo
Nathaniel Hawthorne
Truman Capote
Chuck Palahniuk
Mitch Albom
Becca Fitzpatrick
Dr. Seuss
Larry McMurtry
Neil Gaiman
Patrick Süskind
Alexandre Dumas
Louis Sachar
C.S. Lewis
Stephen King
Alan Moore
Rick Riordan
Laura Ingalls Wilder
Dante Alighieri
J.M. Barrie
Erich Maria Remarque
Reduced Shakespeare Company
J.R.R. Tolkien
Gabriel García Márquez
Richelle Mead
Veronica Roth
Colleen McCullough
Nicholas Sparks
Dr. Seuss
Douglas Adams
Ian McEwan
Elizabeth Gilbert
Oscar Wilde
Zora Neale Hurston
L. Frank Baum
Alexandre Dumas
Richelle Mead
Margaret Wise Brown
Dr. Seuss
Terry Pratchett
Richelle Mead
Thomas Hardy
Pearl S. Buck
Joseph Conrad
William Shakespeare
Rick Riordan
Cassandra Clare
Kahlil Gibran
Marion Zimmer Bradley
Rick Riordan
Rick Riordan
Amy Tan
Jane Carruth
Jack London
Richard Bach
Gustave Flaubert
Norton Juster
Katherine Paterson
Suzanne Collins
Dr. Seuss
Stieg Larsson
James Dashner
Michael Ende
Charles Dickens
James Joyce
Robert Louis Stevenson
E.L. James
Jean M. Auel
George R.R. Martin
Geoffrey Chaucer
John Irving
Ernest Hemingway
Charles Dickens
Jay Asher
Gregory Maguire
James Clavell
Jonathan Safran Foer
Agatha Christie
Frances Hodgson Burnett
Philippa Gregory
Philip Pullman
Thomas Keneally
John Boyne
Michael Crichton
Lauren Kate
Richelle Mead
Erin Morgenstern
J.R.R. Tolkien
Ki Longfellow
Toni Morrison
Franz Kafka
John Kennedy Toole
Ernest Hemingway
Kiera Cass
Margery Williams Bianco
Suzanne Collins
Rick Riordan
Sarah J. Maas
Richelle Mead
Cassandra Clare
Arthur  Miller
Homer
Kurt Vonnegut Jr.
Arundhati Roy
Kenneth Grahame
C.S. Lewis
Tracy Chevalier
Corrie ten Boom
Shel Silverstein
Maggie Stiefvater
Thomas  Harris
Scott Westerfeld
Cassandra Clare
Viktor E. Frankl
Wally Lamb
Gaston Leroux
John Grogan
Gail Carson Levine
Haruki Murakami
Marissa Meyer
Stephen King
George R.R. Martin
José Saramago
William Faulkner
William Paul Young
P.C. Cast
Mary Ann Shaffer
Ernest Hemingway
Hunter S. Thompson
Isabel Allende
Bill Watterson
Alex Haley
Diana Wynne Jones
Stephen King
Robert A. Heinlein
"Scott O&#39;Dell"
Stephenie Meyer
Stieg Larsson
Janet Fitch
Donna Tartt
Anne Frank
Lauren Oliver
Jamie McGuire
William Shakespeare
Ki Longfellow
John Green
Anne Rice
Fyodor Dostoyevsky
Laurie Halse Anderson
William Shakespeare
T.H. White
Wally Lamb
Neil Gaiman
Jon Krakauer
Harriet Beecher Stowe
Christopher Moore
Cornelia Funke
Elizabeth Kostova
Arthur Conan Doyle
Voltaire
Roald Dahl
Ralph Ellison
John Milton
Tim Butcher
James Herriot
Gillian Flynn
Walt Whitman
Kristin Cashore
Diane Setterfield
William Shakespeare
Haruki Murakami
"Tim O&#39;Brien"
Isaac Asimov
H.G. Wells
Stephen King
John Irving
Haruki Murakami
Johanna Spyri
Judy Blume
Cassandra Clare
Jostein Gaarder
Henry David Thoreau
Patrick Rothfuss
سید مرتضی مصطفوی
Kate Chopin
Rainbow Rowell
William Styron
Pat Conroy
Kazuo Ishiguro
Rick Riordan
Charlaine Harris
Fannie Flagg
E.L. James
Ernest Cline
George Eliot
Jon Stone
Chinua Achebe
Helen Fielding
Sarah J. Maas
Virginia Woolf
J.D. Salinger
Suzanne Collins
Bryce Courtenay
C.S. Lewis
Neil Gaiman
John Grisham
Stephen King
Lois Lowry
Veronica Roth
Rainbow Rowell
Philip K. Dick
Bill Bryson
J.R.R. Tolkien
Rick Riordan
Garth Stein
Jojo Moyes
Gayle Forman
Anna Sewell
Arthur Conan Doyle
Brandon Sanderson
James Joyce
Marie Lu
Jonathan Swift
Ann Patchett
Bret Easton Ellis
Alan Moore
Robert Munsch
Roald Dahl
Anonymous
Neil Gaiman
Jane Austen
E.L. James
Charles Frazier
Jack London
R.J. Palacio
Unknown
Natalie Babbitt
Kami Garcia
Hermann Hesse
Brandon Sanderson
Christopher Paolini
J.R. Ward
Beatrice Sparks
أحمد جمال الدين رمضان
Edgar Allan Poe
Robert Jordan
William Faulkner
John Knowles
Art Spiegelman
Jane Austen
Michael Chabon
Christopher Paolini
أحمد جمال الدين رمضان
Dave Pelzer
Jerry Spinelli
Lao Tzu
Stephen King
Nicholas Sparks
Salman Rushdie
Jennifer L. Armentrout
Ray Bradbury
Becca Fitzpatrick
Michael Ondaatje
John Steinbeck
David Mitchell
Robert M. Pirsig
Andy Weir
John Grisham
Nicholas Sparks
Willa Cather
Tahereh Mafi
Philip Pullman
Boris Pasternak
Victor Hugo
Daniel Defoe
Dante Alighieri
Laura Esquivel
Truman Capote
Emma Donoghue
Diana Gabaldon
Kurt Vonnegut Jr.
Roald Dahl
Leigh Bardugo
J.K. Rowling
Charles Darwin
Rohinton Mistry
Laini Taylor
Alyson Noel
Robert Louis Stevenson
Cassandra Clare
Arthur  Miller
Philip Pullman
Stephen King
Tennessee Williams
Albert Camus
John Berendt
David Foster Wallace
Niccolò Machiavelli
William Shakespeare
Johann Wolfgang von Goethe
Kazuo Ishiguro
Stephanie Perkins
Lisa See
James Patterson
George R.R. Martin
Ransom Riggs
Ally Condie
V.C. Andrews
Annie Proulx
Laura Hillenbrand
Emmuska Orczy
Colleen Hoover
Susanna Clarke
Chaim Potok
Nick Hornby
Cormac McCarthy
Ki Longfellow
Anthony Doerr
Eoin Colfer
