ime_knjige;ime_avtor
The Hunger Games;Suzanne Collins
Harry Potter and the Order of the Phoenix;J.K. Rowling
To Kill a Mockingbird;Harper Lee
Pride and Prejudice;Jane Austen
Twilight;Stephenie Meyer
The Book Thief;Markus Zusak
Animal Farm;George Orwell
The Chronicles of Narnia;C.S. Lewis
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings;J.R.R. Tolkien
Gone with the Wind;Margaret Mitchell
The Fault in Our Stars;John Green
"The Hitchhiker&#39;s Guide to the Galaxy";Douglas Adams
The Giving Tree;Shel Silverstein
Wuthering Heights;Emily Brontë
The Da Vinci Code;Dan Brown
Memoirs of a Geisha;Arthur Golden
The Picture of Dorian Gray;Oscar Wilde
"Alice&#39;s Adventures in Wonderland &amp; Through the Looking-Glass";Lewis Carroll
Jane Eyre;Charlotte Brontë
Les Misérables;Victor Hugo
Fahrenheit 451;Ray Bradbury
Divergent;Veronica Roth
Lord of the Flies;William Golding
Romeo and Juliet;William Shakespeare
The Alchemist;Paulo Coelho
Crime and Punishment;Fyodor Dostoyevsky
The Perks of Being a Wallflower;Stephen Chbosky
The Great Gatsby;F. Scott Fitzgerald
City of Bones;Cassandra Clare
"Ender&#39;s Game";Orson Scott Card
The Help;Kathryn Stockett
Anne of Green Gables;L.M. Montgomery
"Harry Potter and the Sorcerer&#39;s Stone";J.K. Rowling
The Little Prince;Antoine de Saint-Exupéry
"Charlotte&#39;s Web";E.B. White
Of Mice and Men;John Steinbeck
"The Time Traveler&#39;s Wife";Audrey Niffenegger
Dracula;Bram Stoker
Brave New World;Aldous Huxley
One Hundred Years of Solitude;Gabriel García Márquez
The Catcher in the Rye;J.D. Salinger
The Princess Bride;William Goldman
The Lightning Thief;Rick Riordan
The Secret Garden;Frances Hodgson Burnett
A Thousand Splendid Suns;Khaled Hosseini
A Wrinkle in Time;"Madeleine L&#39;Engle"
A Game of Thrones;George R.R. Martin
The Adventures of Huckleberry Finn;Mark Twain
The Lovely Bones;Alice Sebold
The Outsiders;S.E. Hinton
Where the Wild Things Are;Maurice Sendak
Green Eggs and Ham;Dr. Seuss
The Odyssey;Homer
Life of Pi;Yann Martel
A Tale of Two Cities;Charles Dickens
Water for Elephants;Sara Gruen
Lolita;Vladimir Nabokov
Slaughterhouse-Five;Kurt Vonnegut Jr.
Frankenstein: The 1818 Text;Mary Wollstonecraft Shelley
The Kite Runner;Khaled Hosseini
"The Handmaid&#39;s Tale";Margaret Atwood
The Giver;Lois Lowry
Catch-22;Joseph Heller
Dune;Frank Herbert
The Pillars of the Earth;Ken Follett
The Stand;Stephen King
The Adventures of Sherlock Holmes;Arthur Conan Doyle
Watership Down;Richard  Adams
Great Expectations;Charles Dickens
Little Women;Louisa May Alcott
The Bell Jar;Sylvia Plath
Harry Potter and the Deathly Hallows;J.K. Rowling
"One Flew Over the Cuckoo&#39;s Nest";Ken Kesey
Anna Karenina;Leo Tolstoy
Outlander;Diana Gabaldon
"My Sister&#39;s Keeper";Jodi Picoult
Matilda;Roald Dahl
The Fellowship of the Ring;J.R.R. Tolkien
The Girl with the Dragon Tattoo;Stieg Larsson
Rebecca;Daphne du Maurier
1984;George Orwell
The Color Purple;Alice Walker
A Tree Grows in Brooklyn;Betty  Smith
A Clockwork Orange;Anthony Burgess
The Road;Cormac McCarthy
The Brothers Karamazov;Fyodor Dostoyevsky
"Angela&#39;s Ashes";Frank McCourt
Vampire Academy;Richelle Mead
Siddhartha;Hermann Hesse
The Poisonwood Bible;Barbara Kingsolver
The Golden Compass;Philip Pullman
Don Quixote;Miguel de Cervantes Saavedra
Atlas Shrugged;Ayn Rand
Harry Potter and the Prisoner of Azkaban;J.K. Rowling
The Old Man and the Sea;Ernest Hemingway
The Notebook;Nicholas Sparks
Winnie-the-Pooh;A.A. Milne
The Complete Stories and Poems;Edgar Allan Poe
Interview with the Vampire;Anne Rice
A Prayer for Owen Meany;John Irving
Moby-Dick or, the Whale;Herman Melville
The Red Tent;Anita Diamant
Harry Potter and the Goblet of Fire;J.K. Rowling
The Secret Life of Bees;Sue Monk Kidd
Clockwork Angel;Cassandra Clare
Harry Potter and the Half-Blood Prince;J.K. Rowling
And Then There Were None;Agatha Christie
Middlesex;Jeffrey Eugenides
The Stranger;Albert Camus
The Master and Margarita;Mikhail Bulgakov
The Name of the Wind;Patrick Rothfuss
The Shining;Stephen King
The Adventures of Tom Sawyer;Mark Twain
Eragon;Christopher Paolini
Charlie and the Chocolate Factory;Roald Dahl
Flowers for Algernon;Daniel Keyes
On the Road;Jack Kerouac
Looking for Alaska;John Green
The Metamorphosis;Franz Kafka
The Shadow of the Wind;Carlos Ruiz Zafón
The Curious Incident of the Dog in the Night-Time;Mark Haddon
The Very Hungry Caterpillar;Eric Carle
Tuesdays with Morrie;Mitch Albom
The Unbearable Lightness of Being;Milan Kundera
The Name of the Rose;Umberto Eco
Where the Red Fern Grows;Wilson Rawls
Harry Potter and the Chamber of Secrets;J.K. Rowling
The Godfather;Mario Puzo
