naslov,ocena
The Scarlet Letter, 3.41 
Heart of Darkness, 3.43 
Beowulf, 3.45 
The Pearl, 3.48 
The Canterbury Tales, 3.50 
"Moby-Dick or, the Whale", 3.51 
Lady Chatterley&#39;s Lover, 3.51 
Death of a Salesman, 3.53 
Wicked: The Life and Times of the Wicked Witch of the West, 3.54 
"Eat, Pray, Love", 3.57 
Gulliver&#39;s Travels, 3.57 
A Separate Peace, 3.58 
The Crucible, 3.59 
Evermore, 3.59 
Twilight, 3.60 
On the Road, 3.62 
Allegiant, 3.62 
A Portrait of the Artist as a Young Man, 3.62 
The Awakening, 3.65 
Three Cups of Tea: One Man&#39;s Mission to Promote Peace ... One School at a Time, 3.65 
Fifty Shades of Grey, 3.66 
Matched, 3.66 
Madame Bovary, 3.68 
Things Fall Apart, 3.68 
Robinson Crusoe, 3.68 
Lord of the Flies, 3.69 
Atlas Shrugged, 3.69 
Wicked Lovely, 3.69 
Julius Caesar, 3.69 
The Lost Symbol, 3.71 
The Glass Menagerie, 3.71 
As I Lay Dying, 3.72 
Ulysses, 3.73 
Fallen, 3.73 
Romeo and Juliet, 3.75 
The Jungle, 3.75 
Beautiful Creatures, 3.76 
Go Ask Alice, 3.76 
Stargirl, 3.76 
The Reader, 3.76 
The Odyssey, 3.77 
Shiver, 3.77 
Candide, 3.77 
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values, 3.77 
Great Expectations, 3.78 
The Old Man and the Sea, 3.78 
The Shack, 3.78 
Walden, 3.78 
Bridget Jones&#39;s Diary, 3.78 
To the Lighthouse, 3.78 
A Great and Terrible Beauty, 3.78 
The Historian, 3.79 
Mrs. Dalloway, 3.79 
The Twilight Collection, 3.79 
Vanity Fair, 3.79 
Tess of the D&#39;Urbervilles, 3.80 
Marked, 3.80 
Paper Towns, 3.80 
My Ántonia, 3.80 
The Merchant of Venice, 3.80 
The Catcher in the Rye, 3.81 
Frankenstein: The 1818 Text, 3.81 
A Farewell to Arms, 3.81 
Paradise Lost, 3.81 
American Psycho, 3.81 
The Adventures of Huckleberry Finn, 3.82 
The Lovely Bones, 3.82 
The Metamorphosis, 3.82 
The Sun Also Rises, 3.82 
Never Let Me Go, 3.82 
The Strange Case of Dr. Jekyll and Mr. Hyde, 3.82 
The Prince, 3.82 
Flowers in the Attic, 3.82 
Jonathan Strange &amp; Mr Norrell, 3.82 
The Virgin Suicides, 3.82 
Treasure Island, 3.83 
Waiting for Godot, 3.83 
Northanger Abbey, 3.83 
Divine Secrets of the Ya-Ya Sisterhood, 3.83 
The War of the Worlds, 3.83 
We Were Liars, 3.83 
Jonathan Livingston Seagull, 3.84 
Island of the Blue Dolphins, 3.84 
Fifty Shades Darker, 3.84 
The Host, 3.84 
Snow Falling on Cedars, 3.84 
A Tale of Two Cities, 3.85 
Fifty Shades Freed, 3.85 
Artemis Fowl, 3.85 
Dubliners, 3.85 
Wuthering Heights, 3.86 
The Da Vinci Code, 3.86 
Uglies, 3.86 
The Sound and the Fury, 3.86 
Cold Mountain, 3.86 
Mansfield Park, 3.86 
The Shipping News, 3.86 
The Call of the Wild, 3.87 
Oliver Twist, 3.87 
Beloved, 3.87 
Uncle Tom&#39;s Cabin, 3.87 
Tuck Everlasting, 3.87 
Torment, 3.87 
The Alchemist, 3.88 
Of Mice and Men, 3.88 
Don Quixote, 3.88 
The Curious Incident of the Dog in the Night-Time, 3.88 
She&#39;s Come Undone, 3.88 
Inkheart, 3.88 
Invisible Man, 3.88 
The English Patient, 3.88 
Breakfast at Tiffany&#39;s and Three Stories, 3.88 
Lolita, 3.89 
A Confederacy of Dunces, 3.89 
Girl with a Pearl Earring, 3.89 
The Time Machine, 3.89 
"Cry, the Beloved Country", 3.89 
Eragon, 3.90 
Othello, 3.90 
"Are You There God? It&#39;s Me, Margaret", 3.90 
Neuromancer, 3.90 
Everything Is Illuminated, 3.90 
The Iron King, 3.90 
The God Delusion, 3.90 
Angels &amp; Demons, 3.90 
Life of Pi, 3.91 
The Adventures of Tom Sawyer, 3.91 
Atonement, 3.91 
King Lear, 3.91 
Miss Peregrine&#39;s Home for Peculiar Children, 3.91 
Chosen, 3.91 
A Room with a View, 3.91 
The Horse and His Boy, 3.91 
The Great Gatsby, 3.92 
Love in the Time of Cholera, 3.92 
Tote Mädchen lügen nicht, 3.92 
Stranger in a Strange Land, 3.92 
زندگی مه آلود پریا, 3.92 
Midnight in the Garden of Good and Evil, 3.92 
The Goldfinch, 3.92 
The Joy Luck Club, 3.93 
The Silmarillion, 3.93 
Sophie&#39;s World, 3.93 
Bel Canto, 3.93 
"Faust, First Part", 3.93 
High Fidelity, 3.93 
Betrayed, 3.93 
Hunted, 3.93 
The Five People You Meet in Heaven, 3.94 
Their Eyes Were Watching God, 3.94 
The God of Small Things, 3.94 
If I Stay, 3.94 
The Republic, 3.94 
Far From the Madding Crowd, 3.94 
I Am Number Four, 3.94 
The Hours, 3.94 
Animal Farm, 3.95 
A Midsummer Night&#39;s Dream, 3.95 
The Gunslinger, 3.95 
Shatter Me, 3.95 
Like Water for Chocolate, 3.95 
The Age of Innocence, 3.95 
Untamed, 3.95 
The Bad Beginning, 3.95 
The Trial, 3.96 
The Phantom of the Opera, 3.96 
Dead Until Dark, 3.96 
Black Beauty, 3.96 
Carrie, 3.96 
Chocolat, 3.96 
The Time Traveler&#39;s Wife, 3.97 
The Road, 3.97 
"Hush, Hush", 3.97 
Holes, 3.97 
Extremely Loud &amp; Incredibly Close, 3.97 
For Whom the Bell Tolls, 3.97 
White Oleander, 3.97 
Delirium, 3.97 
The Thirteenth Tale, 3.97 
Middlemarch, 3.97 
The Grapes of Wrath, 3.97 
The Bean Trees, 3.97 
Catch-22, 3.98 
The Stranger, 3.98 
All Quiet on the Western Front, 3.98 
The Wonderful Wizard of Oz, 3.98 
The Wind in the Willows, 3.98 
Ella Enchanted, 3.98 
Franny and Zooey, 3.98 
White Fang, 3.98 
Midnight&#39;s Children, 3.98 
The Origin of Species, 3.98 
A Streetcar Named Desire, 3.98 
Ishmael, 3.98 
Twelfth Night, 3.98 
Invisible Monsters, 3.98 
Fahrenheit 451, 3.99 
Brave New World, 3.99 
A Clockwork Orange, 3.99 
The Golden Compass, 3.99 
The Good Earth, 3.99 
Into the Wild, 3.99 
Heidi, 3.99 
Eldest, 3.99 
The Hunchback of Notre-Dame, 3.99 
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America", 3.99 
Me Talk Pretty One Day, 3.99 
The Woman in White, 3.99 
Dracula, 4.00 
A Wrinkle in Time, 4.00 
Interview with the Vampire, 4.00 
David Copperfield, 4.00 
Inferno, 4.00 
Bleak House, 4.00 
Brideshead Revisited, 4.00 
Pet Sematary, 4.00 
A Discovery of Witches, 4.00 
I Capture the Castle, 4.00 
The Bell Jar, 4.01 
Middlesex, 4.01 
Bridge to Terabithia, 4.01 
Cloud Atlas, 4.01 
Doctor Zhivago, 4.01 
Daughter of Smoke &amp; Bone, 4.01 
The Plague, 4.01 
Anna and the French Kiss, 4.01 
World War Z: An Oral History of the Zombie War, 4.01 
The Westing Game, 4.01 
Looking for Alaska, 4.02 
Perfume: The Story of a Murderer, 4.02 
Insurgent, 4.02 
Alice in Wonderland, 4.02 
Midnight Sun [2008 Draft], 4.02 
Speak, 4.02 
James and the Giant Peach, 4.02 
The Firm, 4.02 
Hamlet, 4.02 
The Last Battle, 4.02 
Snow Crash, 4.02 
The Summoning, 4.02 
The Elite, 4.02 
P.S. I Love You, 4.02 
Siddhartha, 4.03 
The Maze Runner, 4.03 
The Night Circus, 4.03 
Norwegian Wood, 4.03 
&#39;Salem&#39;s Lot, 4.03 
Dear John, 4.03 
Being and Time, 4.03 
Jurassic Park, 4.04 
The Iliad/The Odyssey, 4.04 
Mockingjay, 4.04 
The Magician&#39;s Nephew, 4.04 
Crescendo, 4.04 
The Chosen, 4.04 
The 5th Wave, 4.04 
The Arabian Nights, 4.04 
Red Queen, 4.04 
Cannery Row, 4.04 
Anna Karenina, 4.05 
The Divine Comedy, 4.05 
Peter Pan, 4.05 
The Clan of the Cave Bear, 4.05 
The Once and Future King, 4.05 
Fangirl, 4.05 
Eleanor &amp; Park, 4.05 
Brisingr, 4.05 
The Unbecoming of Mara Dyer, 4.05 
The Raven Boys, 4.05 
Alice&#39;s Adventures in Wonderland &amp; Through the Looking-Glass, 4.06 
Watership Down, 4.06 
The Poisonwood Bible, 4.06 
The Secret Life of Bees, 4.06 
Blood River: A Journey to Africa&#39;s Broken Heart, 4.06 
Room, 4.06 
The Scarlet Pimpernel, 4.06 
The Tales of Beedle the Bard, 4.06 
Coraline, 4.06 
Perfect Chemistry, 4.06 
Just Listen, 4.06 
Much Ado About Nothing, 4.06 
A Christmas Carol, 4.06 
In Cold Blood, 4.07 
The Three Musketeers, 4.07 
The Other Boleyn Girl, 4.07 
The Secret Magdalene, 4.07 
The Vampire Lestat, 4.07 
Gone Girl, 4.07 
A Time to Kill, 4.07 
Breakfast of Champions, 4.07 
The Angel Experiment, 4.07 
Trainspotting, 4.07 
Cyrano de Bergerac, 4.07 
Speaker for the Dead, 4.07 
All the King&#39;s Men, 4.07 
The Picture of Dorian Gray, 4.08 
One Hundred Years of Solitude, 4.08 
Slaughterhouse-Five, 4.08 
My Sister&#39;s Keeper, 4.08 
Where the Red Fern Grows, 4.08 
Fear and Loathing in Las Vegas, 4.08 
Graceling, 4.08 
Stardust, 4.08 
Do Androids Dream of Electric Sheep?, 4.08 
Snow Flower and the Secret Fan, 4.08 
The Red Pyramid, 4.08 
Water for Elephants, 4.09 
Little Women, 4.09 
The World According to Garp, 4.09 
The Secret History, 4.09 
The Amber Spyglass, 4.09 
